Zila,Upazila,Union,Village,Household (No),Random,40 percent,sample hhs,cum-sum,Prob of village,prob of household,prob select,sampling weights
Mymensingh,Bhaluka,Bhaluka,Aska,63,0.293057932,25.2,25,25,0.366666667,0.396825397,0.145502646,6.872727273
Mymensingh,Bhaluka,Hobirbari,Awolatoly,21,0.299031197,8.4,19,44,0.366666667,0.904761905,0.331746032,3.014354067
Mymensingh,Bhaluka,Dhitpur,Badepurura,45,0.020429332,18,17,61,0.366666667,0.377777778,0.138518519,7.219251337
Mymensingh,Bhaluka,Birunia,Bakshbari ,46,0.029370167,18.4,16,77,0.366666667,0.347826087,0.127536232,7.840909091
Mymensingh,Bhaluka,Meduari,Bankua,56,0.08270418,22.4,22,99,0.366666667,0.392857143,0.144047619,6.94214876
Mymensingh,Bhaluka,Bhaluka,Basil,74,0.097839934,29.6,30,129,0.366666667,0.405405405,0.148648649,6.727272727
Mymensingh,Bhaluka,Kachina,Batajor,110,0.271165952,44,44,173,0.366666667,0.4,0.146666667,6.818181818
Mymensingh,Bhaluka,Mullikbari,Bhayabah,68,0.223663362,27.2,27,200,0.366666667,0.397058824,0.145588235,6.868686869
Mymensingh,Bhaluka,Dakatia,Binnaripara,20,0.24874708,8,11,211,0.366666667,0.55,0.201666667,4.958677686
Mymensingh,Bhaluka,Mullikbari,Borta,85,0.196670387,34,34,245,0.366666667,0.4,0.146666667,6.818181818
Mymensingh,Bhaluka,Varaduba,Chaparbari,19,0.148731537,7.6,15,260,0.366666667,0.789473684,0.289473684,3.454545455
Mymensingh,Bhaluka,Dakatia,Daloapara,53,0.286530723,21.2,21,281,0.366666667,0.396226415,0.145283019,6.883116883
Mymensingh,Bhaluka,Mullikbari,Damshur,119,0.29538215,47.6,49,330,0.366666667,0.411764706,0.150980392,6.623376623
Mymensingh,Bhaluka,Dhitpur,Dhitpur,89,0.283790539,35.6,36,366,0.366666667,0.404494382,0.148314607,6.742424242
Mymensingh,Bhaluka,Dakatia,Domnigat,22,0.223900687,8.8,15,381,0.366666667,0.681818182,0.25,4
Mymensingh,Bhaluka,Mullikbari,Gadomia,118,0.197443384,47.2,47,428,0.366666667,0.398305085,0.146045198,6.847195358
Mymensingh,Bhaluka,Hobirbari,Gangatia,27,0.113152309,10.8,15,443,0.366666667,0.555555556,0.203703704,4.909090909
Mymensingh,Bhaluka,Birunia,Goari,174,0.271683549,69.6,69,512,0.366666667,0.396551724,0.145402299,6.877470356
Mymensingh,Bhaluka,Hobirbari,Gouripur,15,0.106798778,6,14,526,0.366666667,0.933333333,0.342222222,2.922077922
Mymensingh,Bhaluka,Uthura,Jatia,39,0.079180469,15.6,16,542,0.366666667,0.41025641,0.15042735,6.647727273
Mymensingh,Bhaluka,Kachina,Jeraniya,29,0.121331703,11.6,15,557,0.366666667,0.517241379,0.189655172,5.272727273
Mymensingh,Bhaluka,Hobirbari,Kasoar,31,0.193951999,12.4,14,571,0.366666667,0.451612903,0.165591398,6.038961039
Mymensingh,Bhaluka,Rajoi,Khurdo,32,0.200659714,12.8,15,586,0.366666667,0.46875,0.171875,5.818181818
Mymensingh,Bhaluka,Rajoi,Kullabo,68,0.109510281,27.2,27,613,0.366666667,0.397058824,0.145588235,6.868686869
Mymensingh,Bhaluka,Hobirbari,Lobonkotha,20,0.070140807,8,12,625,0.366666667,0.6,0.22,4.545454545
Mymensingh,Bhaluka,Kachina,Manikdara,19,0.206711555,7.6,15,640,0.366666667,0.789473684,0.289473684,3.454545455
Mymensingh,Bhaluka,Bhaluka,Mirka,26,0.094649354,10.4,15,655,0.366666667,0.576923077,0.211538462,4.727272727
Mymensingh,Bhaluka,Meduari,Nijhuri,17,0.164817709,6.8,15,670,0.366666667,0.882352941,0.323529412,3.090909091
Mymensingh,Bhaluka,Bhaluka,Nishaigonj,19,0.044713389,7.6,15,685,0.366666667,0.789473684,0.289473684,3.454545455
Mymensingh,Bhaluka,Hobirbari,Noluakuri,23,0.131401404,9.2,14,699,0.366666667,0.608695652,0.223188406,4.480519481
Mymensingh,Bhaluka,Rajoi,Pailabo,79,0.195446481,31.6,32,731,0.366666667,0.405063291,0.148523207,6.732954545
Mymensingh,Bhaluka,Kachina,Palgaon,135,0.242788444,54,52,783,0.366666667,0.385185185,0.141234568,7.08041958
Mymensingh,Bhaluka,Rajoi,Paruldia,17,0.100600791,6.8,15,798,0.366666667,0.882352941,0.323529412,3.090909091
Mymensingh,Bhaluka,Dakatia,Pasgaon,21,0.21594884,8.4,15,813,0.366666667,0.714285714,0.261904762,3.818181818
Mymensingh,Bhaluka,Varaduba,Purura,131,0.003218018,52.4,53,866,0.366666667,0.404580153,0.148346056,6.740994854
Mymensingh,Bhaluka,Rajoi,Rajoi,119,0.299328533,47.6,47,913,0.366666667,0.394957983,0.144817927,6.905222437
Mymensingh,Bhaluka,Dhitpur,Randia,77,0.17739237,30.8,32,945,0.366666667,0.415584416,0.152380952,6.5625
Mymensingh,Bhaluka,Varaduba,Rangchapra,88,0.112069336,35.2,30,975,0.366666667,0.340909091,0.125,8
Mymensingh,Bhaluka,Dhitpur,Shantigonj,35,0.071602828,14,15,990,0.366666667,0.428571429,0.157142857,6.363636364
Mymensingh,Bhaluka,Dakatia,Silepara,16,0.106246691,6.4,15,1005,0.366666667,0.9375,0.34375,2.909090909
Mymensingh,Bhaluka,Dakatia,Sonakhali,19,0.23240178,7.6,15,1020,0.366666667,0.789473684,0.289473684,3.454545455
Mymensingh,Bhaluka,Kachina,Tamat,147,0.053258879,58.8,55,1075,0.366666667,0.37414966,0.137188209,7.289256198
Mymensingh,Bhaluka,Varaduba,Vatgaon,51,0.058402899,20.4,20,1095,0.366666667,0.392156863,0.14379085,6.954545455
Mymensingh,Bhaluka,Birunia,Vauwalaibazu,22,0.259545678,8.8,15,1110,0.366666667,0.681818182,0.25,4
